source,target,Edge Type
2070,16744,MemberOf
2280,16747,MemberOf
2281,16747,MemberOf
2282,16747,MemberOf
2328,16825,MemberOf
2329,16825,MemberOf
2344,16748,MemberOf
2345,16748,MemberOf
2346,16748,MemberOf
2363,16766,MemberOf
2388,16792,MemberOf
2389,16792,MemberOf
2426,16899,MemberOf
2458,16929,MemberOf
2460,16929,MemberOf
2506,16871,MemberOf
2508,16871,MemberOf
2509,16871,MemberOf
2516,16777,MemberOf
2517,16777,MemberOf
2535,16920,MemberOf
2537,16920,MemberOf
2591,16867,MemberOf
2592,16762,MemberOf
2634,16916,MemberOf
2635,16916,MemberOf
2636,16916,MemberOf
2637,16916,MemberOf
2650,16830,MemberOf
2651,16830,MemberOf
2772,16901,MemberOf
2773,16901,MemberOf
2780,16883,MemberOf
2782,16883,MemberOf
2872,16894,MemberOf
2877,16893,MemberOf
2878,16893,MemberOf
2932,16772,MemberOf
2978,16798,MemberOf
2981,16798,MemberOf
3014,16896,MemberOf
3015,16896,MemberOf
3068,16873,MemberOf
3070,16873,MemberOf
3107,16757,MemberOf
3155,16831,MemberOf
3157,16831,MemberOf
3164,16814,MemberOf
3165,16814,MemberOf
3166,16814,MemberOf
3175,16805,MemberOf
3176,16805,MemberOf
3177,16805,MemberOf
3336,16747,MemberOf
3360,16755,MemberOf
3366,16775,MemberOf
3377,16804,MemberOf
3379,16804,MemberOf
3413,16808,MemberOf
3502,16892,MemberOf
3503,16892,MemberOf
3504,16892,MemberOf
3544,16848,MemberOf
3545,16848,MemberOf
3665,16778,MemberOf
3666,16778,MemberOf
3673,16849,MemberOf
3674,16849,MemberOf
3712,16902,MemberOf
3717,16902,MemberOf
3751,16911,MemberOf
3752,16911,MemberOf
3753,16776,MemberOf
3754,16911,MemberOf
3761,16823,MemberOf
3764,16823,MemberOf
3774,16919,MemberOf
3775,16919,MemberOf
3820,16799,MemberOf
3821,16799,MemberOf
3841,16785,MemberOf
3843,16785,MemberOf
3846,16838,MemberOf
3847,16838,MemberOf
3894,16918,MemberOf
3895,16918,MemberOf
4009,16884,MemberOf
4010,16884,MemberOf
4011,16884,MemberOf
4073,16841,MemberOf
4075,16841,MemberOf
4076,16841,MemberOf
4092,16828,MemberOf
4125,16808,MemberOf
4131,16774,MemberOf
4134,16774,MemberOf
4141,16847,MemberOf
4144,16935,MemberOf
4145,16847,MemberOf
4146,16935,MemberOf
4255,16821,MemberOf
4256,16821,MemberOf
4257,16822,MemberOf
4258,16821,MemberOf
4259,16822,MemberOf
4284,16752,MemberOf
4285,16752,MemberOf
4317,16915,MemberOf
4319,16915,MemberOf
4347,16788,MemberOf
4349,16913,MemberOf
4351,16913,MemberOf
4355,16851,MemberOf
4356,16851,MemberOf
4394,16802,MemberOf
4395,16802,MemberOf
4397,16802,MemberOf
4433,16815,MemberOf
4434,16815,MemberOf
4445,16860,MemberOf
4494,16864,MemberOf
4495,16864,MemberOf
4503,16809,MemberOf
4566,16758,MemberOf
4567,16758,MemberOf
4568,16758,MemberOf
4569,16758,MemberOf
4572,16856,MemberOf
4573,16856,MemberOf
4574,16856,MemberOf
4577,16912,MemberOf
4579,16912,MemberOf
4608,16775,MemberOf
4664,16809,MemberOf
4665,16809,MemberOf
4682,16880,MemberOf
4683,16880,MemberOf
4702,16878,MemberOf
4703,16878,MemberOf
4729,16923,MemberOf
4730,16923,MemberOf
4731,16923,MemberOf
4732,16923,MemberOf
4753,16771,MemberOf
4755,16771,MemberOf
4756,16771,MemberOf
4776,16766,MemberOf
4816,16867,MemberOf
4819,16816,MemberOf
4936,16828,MemberOf
5016,16908,MemberOf
5024,16840,MemberOf
5026,16840,MemberOf
5048,16905,MemberOf
5049,16905,MemberOf
5114,16842,MemberOf
5117,16842,MemberOf
5118,16842,MemberOf
5186,16926,MemberOf
5187,16926,MemberOf
5258,16749,MemberOf
5266,16844,MemberOf
5309,16894,MemberOf
5360,16861,MemberOf
5366,16763,MemberOf
5367,16763,MemberOf
5368,16763,MemberOf
5370,16763,MemberOf
5402,16852,MemberOf
5404,16852,MemberOf
5459,16760,MemberOf
5542,16900,MemberOf
5544,16900,MemberOf
5554,16859,MemberOf
5557,16855,MemberOf
5558,16855,MemberOf
5645,16891,MemberOf
5646,16891,MemberOf
5727,16811,MemberOf
5728,16811,MemberOf
5805,16887,MemberOf
5806,16887,MemberOf
5807,16887,MemberOf
5861,16817,MemberOf
5865,16817,MemberOf
5869,16833,MemberOf
5973,16898,MemberOf
5974,16898,MemberOf
5976,16898,MemberOf
5978,16898,MemberOf
5988,16903,MemberOf
5990,16903,MemberOf
6030,16877,MemberOf
6032,16877,MemberOf
6037,16791,MemberOf
6039,16791,MemberOf
6052,16770,MemberOf
6053,16770,MemberOf
6055,16829,MemberOf
6056,16829,MemberOf
6198,16780,MemberOf
6269,16890,MemberOf
6270,16921,MemberOf
6316,16750,MemberOf
6317,16750,MemberOf
6464,16907,MemberOf
6465,16907,MemberOf
6470,16885,MemberOf
6525,16794,MemberOf
6528,16794,MemberOf
6534,16862,MemberOf
6565,16866,MemberOf
6566,16866,MemberOf
6567,16866,MemberOf
6568,16866,MemberOf
6605,16763,MemberOf
6634,16844,MemberOf
6667,16922,MemberOf
6668,16922,MemberOf
6889,16937,MemberOf
6890,16937,MemberOf
6891,16937,MemberOf
6950,16780,MemberOf
6952,16780,MemberOf
7043,16865,MemberOf
7044,16865,MemberOf
7154,16837,MemberOf
7156,16837,MemberOf
7179,16921,MemberOf
7214,16857,MemberOf
7215,16857,MemberOf
7217,16857,MemberOf
7218,16857,MemberOf
7252,16759,MemberOf
7387,16843,MemberOf
7462,16819,MemberOf
7463,16819,MemberOf
7464,16819,MemberOf
7513,16879,MemberOf
7515,16879,MemberOf
7564,16859,MemberOf
7569,16757,MemberOf
7570,16757,MemberOf
7616,16874,MemberOf
7617,16874,MemberOf
7710,16885,MemberOf
7852,16807,MemberOf
7864,16909,MemberOf
7865,16909,MemberOf
7887,16895,MemberOf
7888,16895,MemberOf
7937,16853,MemberOf
8130,16934,MemberOf
8136,16934,MemberOf
8191,16784,MemberOf
8194,16784,MemberOf
8196,16784,MemberOf
8199,16784,MemberOf
8248,16795,MemberOf
8250,16870,MemberOf
8253,16862,MemberOf
8264,16782,MemberOf
8265,16782,MemberOf
8266,16769,MemberOf
8271,16782,MemberOf
8272,16769,MemberOf
8286,16925,MemberOf
8287,16925,MemberOf
8289,16789,MemberOf
8290,16789,MemberOf
8312,16906,MemberOf
8313,16906,MemberOf
8381,16762,MemberOf
8446,16750,MemberOf
8447,16750,MemberOf
8466,16827,MemberOf
8467,16827,MemberOf
8468,16827,MemberOf
8609,16795,MemberOf
8611,16795,MemberOf
8613,16768,MemberOf
8752,16824,MemberOf
9031,16796,MemberOf
9032,16796,MemberOf
9178,16924,MemberOf
9179,16924,MemberOf
9194,16776,MemberOf
9199,16776,MemberOf
9210,16928,MemberOf
9213,16928,MemberOf
9367,16931,MemberOf
9368,16931,MemberOf
9380,16868,MemberOf
9383,16863,MemberOf
9384,16863,MemberOf
9442,16888,MemberOf
9444,16888,MemberOf
9508,16783,MemberOf
9509,16783,MemberOf
9510,16783,MemberOf
9593,16939,MemberOf
9595,16939,MemberOf
9633,16869,MemberOf
9635,16869,MemberOf
9642,16882,MemberOf
9643,16882,MemberOf
9771,16832,MemberOf
10223,16917,MemberOf
10224,16917,MemberOf
10347,16870,MemberOf
10451,16820,MemberOf
10452,16820,MemberOf
10554,16807,MemberOf
10555,16807,MemberOf
10660,16768,MemberOf
10661,16768,MemberOf
10742,16794,MemberOf
10744,16794,MemberOf
10745,16794,MemberOf
10794,16872,MemberOf
10798,16872,MemberOf
10961,16769,MemberOf
11015,16860,MemberOf
11016,16860,MemberOf
11017,16860,MemberOf
11129,16782,MemberOf
11321,16853,MemberOf
11615,16824,MemberOf
11981,16787,MemberOf
11982,16787,MemberOf
11983,16759,MemberOf
12053,16897,MemberOf
12056,16897,MemberOf
12082,16854,MemberOf
12337,16868,MemberOf
12526,16938,MemberOf
12527,16938,MemberOf
12624,16854,MemberOf
12814,16788,MemberOf
12815,16788,MemberOf
12992,16748,MemberOf
13285,16868,MemberOf
13851,16908,MemberOf
16940,16943,MemberOf
16941,16943,MemberOf
16942,16943,MemberOf
16948,16952,MemberOf
16949,16952,MemberOf
16950,16952,MemberOf
16951,16952,MemberOf
16958,16960,MemberOf
16959,16960,MemberOf
16983,16987,MemberOf
16984,16987,MemberOf
16985,16987,MemberOf
16986,16987,MemberOf
16993,16996,MemberOf
16994,16996,MemberOf
16995,16996,MemberOf
17020,17022,MemberOf
17021,17022,MemberOf
17030,17032,MemberOf
17031,17032,MemberOf
17041,17046,MemberOf
17042,17046,MemberOf
17043,17046,MemberOf
17044,17046,MemberOf
17045,17046,MemberOf
17054,17057,MemberOf
17055,17057,MemberOf
17056,17057,MemberOf
17061,17063,MemberOf
17062,17063,MemberOf
17069,17071,MemberOf
17070,17071,MemberOf
17089,17091,MemberOf
17090,17091,MemberOf
17097,17100,MemberOf
17098,17100,MemberOf
17099,17100,MemberOf
17107,17110,MemberOf
17108,17110,MemberOf
17109,17110,MemberOf
17118,17120,MemberOf
17119,17120,MemberOf
17135,17138,MemberOf
17136,17138,MemberOf
17137,17138,MemberOf
17164,17167,MemberOf
17165,17167,MemberOf
17166,17167,MemberOf
17189,17192,MemberOf
17190,17192,MemberOf
17191,17192,MemberOf
17205,17207,MemberOf
17206,17207,MemberOf
17226,17230,MemberOf
17227,17230,MemberOf
17228,17230,MemberOf
17229,17230,MemberOf
17240,17243,MemberOf
17241,17243,MemberOf
17242,17243,MemberOf
17248,17250,MemberOf
17249,17250,MemberOf
17255,17260,MemberOf
17256,17260,MemberOf
17257,17260,MemberOf
17258,17260,MemberOf
17259,17260,MemberOf
17295,17299,MemberOf
17296,17299,MemberOf
17297,17299,MemberOf
17298,17299,MemberOf
17309,17314,MemberOf
17310,17314,MemberOf
17311,17314,MemberOf
17312,17314,MemberOf
17313,17314,MemberOf
17323,17327,MemberOf
17324,17327,MemberOf
17325,17327,MemberOf
17326,17327,MemberOf
17349,17361,MemberOf
17355,17361,MemberOf
