source,target,Edge Type,source_genre,source_year,target_genre,target_year
558,5526,InterpolatesFrom,Alternative Rock,2027,Southern Gothic Rock,2023
563,13104,DirectlySamples,Synthwave,2026,Synthwave,1997
563,14136,InterpolatesFrom,Synthwave,2026,Doom Metal,2013
563,13574,CoverOf,Synthwave,2026,Synthwave,2008
569,16100,CoverOf,Dream Pop,2025,Dream Pop,2020
577,3711,DirectlySamples,,,,
577,4077,InStyleOf,,,Jazz Surf Rock,2023
577,3025,DirectlySamples,,,Oceanus Folk,2017
577,14720,CoverOf,,,Oceanus Folk,2023
577,1841,LyricalReferenceTo,,,Indie Folk,2010
581,11400,LyricalReferenceTo,Dream Pop,1997,Dream Pop,1985
590,8640,InStyleOf,Dream Pop,2029,Post-Apocalyptic Folk,2026
590,14767,InStyleOf,Dream Pop,2029,,
590,11415,InStyleOf,Dream Pop,2029,Darkwave,2026
590,7534,CoverOf,Dream Pop,2029,Darkwave,2012
600,15306,InStyleOf,Dream Pop,2028,Psychedelic Rock,2004
600,1502,CoverOf,Dream Pop,2028,Psychedelic Rock,2018
600,6915,CoverOf,Dream Pop,2028,Symphonic Metal,2014
600,15199,InStyleOf,Dream Pop,2028,Post-Apocalyptic Folk,2025
611,10726,InterpolatesFrom,Indie Folk,2014,,
611,7567,InStyleOf,Indie Folk,2014,Dream Pop,2013
611,6368,InStyleOf,Indie Folk,2014,Synthwave,1994
621,6106,DirectlySamples,Doom Metal,2023,Indie Folk,2020
625,1608,InStyleOf,Indie Folk,2023,,
625,2614,InStyleOf,Indie Folk,2023,Dream Pop,1990
625,11298,InStyleOf,Indie Folk,2023,,
632,16162,InStyleOf,Alternative Rock,2012,,
632,8055,LyricalReferenceTo,Alternative Rock,2012,Alternative Rock,2004
642,6762,InterpolatesFrom,,,Symphonic Metal,2007
662,16524,LyricalReferenceTo,,,Oceanus Folk,2013
673,6051,CoverOf,Doom Metal,2023,,
683,1333,CoverOf,,,Jazz Surf Rock,2010
683,10055,InStyleOf,,,,
683,5216,InStyleOf,,,Jazz Surf Rock,2018
683,1326,InterpolatesFrom,,,Jazz Surf Rock,1996
695,11299,InterpolatesFrom,Avant-Garde Folk,2012,Avant-Garde Folk,2009
695,12793,LyricalReferenceTo,Avant-Garde Folk,2012,Avant-Garde Folk,2004
705,12162,LyricalReferenceTo,Alternative Rock,2020,Alternative Rock,2018
705,11740,CoverOf,Alternative Rock,2020,Indie Rock,2011
705,13523,InStyleOf,Alternative Rock,2020,Alternative Rock,2000
705,8509,CoverOf,Alternative Rock,2020,Dream Pop,2019
713,2413,InterpolatesFrom,,,Dream Pop,2026
713,11432,InterpolatesFrom,,,Dream Pop,2010
713,5233,InterpolatesFrom,,,,
720,9709,InStyleOf,Oceanus Folk,2023,Oceanus Folk,2014
731,16298,LyricalReferenceTo,Lo-Fi Electronica,1997,Lo-Fi Electronica,1985
736,1407,InterpolatesFrom,,,,
746,1841,LyricalReferenceTo,Oceanus Folk,2027,Indie Folk,2010
746,15071,CoverOf,Oceanus Folk,2027,,
750,1326,LyricalReferenceTo,Alternative Rock,2028,Jazz Surf Rock,1996
757,13563,CoverOf,Oceanus Folk,2023,,
757,6994,InStyleOf,Oceanus Folk,2023,Oceanus Folk,2017
766,16512,InStyleOf,Psychedelic Rock,2017,Americana,2013
766,13603,CoverOf,Psychedelic Rock,2017,Psychedelic Rock,2013
773,4415,InStyleOf,Indie Folk,2022,Doom Metal,2013
773,15766,InStyleOf,Indie Folk,2022,Indie Folk,2004
773,11256,InStyleOf,Indie Folk,2022,,
773,15198,LyricalReferenceTo,Indie Folk,2022,Dream Pop,2013
773,10457,InterpolatesFrom,Indie Folk,2022,Dream Pop,2018
773,1841,CoverOf,Indie Folk,2022,Indie Folk,2010
781,2729,DirectlySamples,Alternative Rock,2025,Darkwave,2000
787,4155,InterpolatesFrom,Psychedelic Rock,2028,Psychedelic Rock,2022
787,14223,LyricalReferenceTo,Psychedelic Rock,2028,Psychedelic Rock,2024
799,11300,InterpolatesFrom,Space Rock,2024,,
799,1841,CoverOf,Space Rock,2024,Indie Folk,2010
799,10909,InStyleOf,Space Rock,2024,Dream Pop,2017
799,4362,DirectlySamples,Space Rock,2024,Synthwave,2013
806,8832,CoverOf,Southern Gothic Rock,2002,,
810,13321,InStyleOf,,,Psychedelic Rock,2025
810,14223,InStyleOf,,,Psychedelic Rock,2024
827,11327,InStyleOf,Lo-Fi Electronica,2006,Lo-Fi Electronica,1998
827,13891,CoverOf,Lo-Fi Electronica,2006,Lo-Fi Electronica,1998
827,14512,DirectlySamples,Lo-Fi Electronica,2006,Lo-Fi Electronica,1997
830,16441,CoverOf,,,Psychedelic Rock,1999
830,1524,InterpolatesFrom,,,Psychedelic Rock,2009
830,12596,InterpolatesFrom,,,Psychedelic Rock,1989
833,11635,DirectlySamples,,,Synthwave,1999
842,5307,InStyleOf,Doom Metal,2023,Doom Metal,2013
842,15622,CoverOf,Doom Metal,2023,Doom Metal,1997
842,4413,LyricalReferenceTo,Doom Metal,2023,Symphonic Metal,2010
842,4046,CoverOf,Doom Metal,2023,,
842,13341,InStyleOf,Doom Metal,2023,Doom Metal,2013
842,14314,CoverOf,Doom Metal,2023,Indie Folk,2020
846,10361,InStyleOf,Doom Metal,2017,Post-Apocalyptic Folk,2011
852,1841,LyricalReferenceTo,Space Rock,2028,Indie Folk,2010
852,10530,InStyleOf,Space Rock,2028,,
852,11146,InterpolatesFrom,Space Rock,2028,Synthpop,2020
866,6777,CoverOf,,,Psychedelic Rock,2013
871,13615,InterpolatesFrom,Synthwave,2024,Post-Apocalyptic Folk,2018
871,11230,CoverOf,Synthwave,2024,Psychedelic Rock,2020
876,1857,InStyleOf,Indie Rock,2010,Indie Rock,2006
876,13484,InterpolatesFrom,Indie Rock,2010,,
880,11404,LyricalReferenceTo,,,Emo/Pop Punk,2000
892,6006,InStyleOf,,,Doom Metal,2004
901,7278,CoverOf,Space Rock,2029,Synthwave,2022
901,10016,InStyleOf,Space Rock,2029,Symphonic Metal,2023
906,4136,InStyleOf,Dream Pop,2029,,
906,4208,CoverOf,Dream Pop,2029,Darkwave,2023
906,11768,LyricalReferenceTo,Dream Pop,2029,Dream Pop,2024
906,9300,InterpolatesFrom,Dream Pop,2029,,
912,3939,InterpolatesFrom,Indie Folk,2017,Space Rock,2013
917,14816,InterpolatesFrom,,,,
917,6915,InterpolatesFrom,,,Symphonic Metal,2014
917,14097,LyricalReferenceTo,,,Psychedelic Rock,2007
917,16512,InterpolatesFrom,,,Americana,2013
917,10218,CoverOf,,,Americana,2013
917,16478,DirectlySamples,,,,
917,15298,InStyleOf,,,Dream Pop,2010
917,14075,LyricalReferenceTo,,,Psychedelic Rock,2010
917,13941,LyricalReferenceTo,,,Synthwave,2010
917,9962,InStyleOf,,,,
917,3252,InterpolatesFrom,,,Psychedelic Rock,2015
917,7435,InStyleOf,,,Psychedelic Rock,2010
922,9641,InStyleOf,,,Alternative Rock,2012
922,14893,LyricalReferenceTo,,,Synthwave,2007
925,6344,InterpolatesFrom,Indie Folk,2027,Desert Rock,2024
925,14762,InterpolatesFrom,Indie Folk,2027,Oceanus Folk,2017
925,16485,InStyleOf,Indie Folk,2027,Dream Pop,2024
933,6368,CoverOf,Dream Pop,1998,Synthwave,1994
940,8680,CoverOf,Lo-Fi Electronica,2028,,
940,4781,InStyleOf,Lo-Fi Electronica,2028,Lo-Fi Electronica,2003
940,2277,InStyleOf,Lo-Fi Electronica,2028,Lo-Fi Electronica,2004
940,966,InStyleOf,Lo-Fi Electronica,2028,Lo-Fi Electronica,2003
940,6072,LyricalReferenceTo,Lo-Fi Electronica,2028,Synthwave,1998
945,15622,InStyleOf,Doom Metal,2017,Doom Metal,1997
951,9884,CoverOf,,,Psychedelic Rock,2009
951,9077,LyricalReferenceTo,,,Doom Metal,2007
951,10319,CoverOf,,,Psychedelic Rock,2014
962,6006,InStyleOf,Indie Folk,2013,Doom Metal,2004
970,9123,InterpolatesFrom,Alternative Rock,2022,Southern Gothic Rock,2004
970,13188,InterpolatesFrom,Alternative Rock,2022,Indie Rock,2007
970,15040,InStyleOf,Alternative Rock,2022,,
970,14961,InStyleOf,Alternative Rock,2022,Synthwave,1987
970,9526,LyricalReferenceTo,Alternative Rock,2022,Synthwave,2001
974,9884,InStyleOf,Psychedelic Rock,2023,Psychedelic Rock,2009
974,12515,InStyleOf,Psychedelic Rock,2023,,
980,15622,InterpolatesFrom,Indie Folk,2020,Doom Metal,1997
985,15966,InStyleOf,Dream Pop,2025,Southern Gothic Rock,2016
985,12596,LyricalReferenceTo,Dream Pop,2025,Psychedelic Rock,1989
985,7531,LyricalReferenceTo,Dream Pop,2025,Southern Gothic Rock,1992
999,9884,InterpolatesFrom,Americana,2027,Psychedelic Rock,2009
1007,10063,CoverOf,Indie Rock,2027,Post-Apocalyptic Folk,2024
1012,10361,DirectlySamples,,,Post-Apocalyptic Folk,2011
1024,13214,InterpolatesFrom,Dream Pop,2029,Darkwave,2026
1024,1242,CoverOf,Dream Pop,2029,Dream Pop,2020
1024,6920,InterpolatesFrom,Dream Pop,2029,Darkwave,2023
1024,1431,InterpolatesFrom,Dream Pop,2029,Darkwave,2017
1033,3402,DirectlySamples,Dream Pop,2028,Dream Pop,2024
1051,6587,InStyleOf,Dream Pop,2010,,
1057,7116,InStyleOf,,,Doom Metal,2007
1057,10673,InStyleOf,,,Doom Metal,2013
1062,9884,CoverOf,,,Psychedelic Rock,2009
1069,1841,LyricalReferenceTo,Synthwave,2026,Indie Folk,2010
1069,16524,CoverOf,Synthwave,2026,Oceanus Folk,2013
1069,3025,InStyleOf,Synthwave,2026,Oceanus Folk,2017
1076,3991,CoverOf,Dream Pop,2025,Synthwave,2021
1080,9749,InterpolatesFrom,,,,
1080,2215,CoverOf,,,Americana,2023
1080,11608,InStyleOf,,,Americana,2024
1080,8823,InStyleOf,,,Space Rock,2025
1080,3609,LyricalReferenceTo,,,Dream Pop,2026
1080,3993,InStyleOf,,,Dream Pop,2025
1091,6006,InStyleOf,Space Rock,2026,Doom Metal,2004
1096,6245,LyricalReferenceTo,,,Emo/Pop Punk,1989
1096,10515,LyricalReferenceTo,,,Indie Pop,1992
1096,14661,InterpolatesFrom,,,,
1096,5109,InterpolatesFrom,,,Emo/Pop Punk,2004
1096,5232,InStyleOf,,,Emo/Pop Punk,2009
1096,14671,CoverOf,,,Emo/Pop Punk,2002
1096,11240,InStyleOf,,,Emo/Pop Punk,2004
1101,2615,InStyleOf,,,,
1113,7026,InterpolatesFrom,,,Americana,1983
1117,12997,LyricalReferenceTo,Alternative Rock,1989,Alternative Rock,1987
1120,239,CoverOf,Dream Pop,2018,,
1130,11813,LyricalReferenceTo,Alternative Rock,2017,Alternative Rock,2006
1135,690,CoverOf,Dream Pop,2000,,
1136,11023,LyricalReferenceTo,Dream Pop,2027,Dream Pop,2023
1136,16090,InterpolatesFrom,Dream Pop,2027,Synthpop,2017
1140,827,InterpolatesFrom,Lo-Fi Electronica,2018,Lo-Fi Electronica,2006
1140,12517,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2007
1140,1265,CoverOf,Lo-Fi Electronica,2018,,
1140,10574,InterpolatesFrom,Lo-Fi Electronica,2018,Lo-Fi Electronica,2007
1140,14768,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2005
1140,11327,DirectlySamples,Lo-Fi Electronica,2018,Lo-Fi Electronica,1998
1140,12373,LyricalReferenceTo,Lo-Fi Electronica,2018,Lo-Fi Electronica,2005
1140,6785,LyricalReferenceTo,Lo-Fi Electronica,2018,Lo-Fi Electronica,2002
1140,4781,DirectlySamples,Lo-Fi Electronica,2018,Lo-Fi Electronica,2003
1140,1466,LyricalReferenceTo,Lo-Fi Electronica,2018,Lo-Fi Electronica,2015
1140,14512,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,1997
1140,966,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2003
1140,13335,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2002
1140,2467,DirectlySamples,Lo-Fi Electronica,2018,,
1140,2277,CoverOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2004
1145,8516,CoverOf,Dream Pop,2020,Psychedelic Rock,2017
1156,12650,LyricalReferenceTo,Synthwave,2022,Synthwave,2017
1156,3168,InterpolatesFrom,Synthwave,2022,Indie Folk,2019
1156,7604,CoverOf,Synthwave,2022,Dream Pop,2019
1156,15622,LyricalReferenceTo,Synthwave,2022,Doom Metal,1997
1156,3692,InStyleOf,Synthwave,2022,Synthwave,2017
1156,6177,InStyleOf,Synthwave,2022,,
1156,431,CoverOf,Synthwave,2022,,
1156,5887,CoverOf,Synthwave,2022,Doom Metal,1997
1162,2316,LyricalReferenceTo,Indie Folk,2013,Indie Folk,2010
1170,6315,CoverOf,Emo/Pop Punk,2004,Emo/Pop Punk,1987
1170,8230,CoverOf,Emo/Pop Punk,2004,Emo/Pop Punk,1989
1170,1955,InterpolatesFrom,Emo/Pop Punk,2004,Emo/Pop Punk,1985
1170,5284,LyricalReferenceTo,Emo/Pop Punk,2004,Blues Rock,1984
1170,10294,CoverOf,Emo/Pop Punk,2004,,
1172,1884,CoverOf,Doom Metal,2017,,
1177,4634,LyricalReferenceTo,Desert Rock,2026,Synthwave,2010
1185,12004,LyricalReferenceTo,Dream Pop,2026,Indie Folk,2013
1190,7799,DirectlySamples,Alternative Rock,2032,Blues Rock,1992
1190,12947,InStyleOf,Alternative Rock,2032,Blues Rock,2010
1190,16182,LyricalReferenceTo,Alternative Rock,2032,Southern Gothic Rock,1997
1205,9902,LyricalReferenceTo,,,Indie Pop,1991
1208,14136,InStyleOf,Space Rock,2028,Doom Metal,2013
1208,10550,InStyleOf,Space Rock,2028,,
1208,6860,InterpolatesFrom,Space Rock,2028,Space Rock,2026
1208,3688,LyricalReferenceTo,Space Rock,2028,Doom Metal,2026
1208,13019,InStyleOf,Space Rock,2028,,
1208,13574,InStyleOf,Space Rock,2028,Synthwave,2008
1208,1600,InterpolatesFrom,Space Rock,2028,Space Rock,2025
1213,2182,InterpolatesFrom,,,Dream Pop,1991
1217,15622,LyricalReferenceTo,Indie Folk,2017,Doom Metal,1997
1221,7266,InStyleOf,,,Dream Pop,2026
1236,15015,InterpolatesFrom,Doom Metal,2013,Doom Metal,2010
1236,15206,InStyleOf,Doom Metal,2013,Doom Metal,2007
1253,3025,InStyleOf,Oceanus Folk,2022,Oceanus Folk,2017
1256,16478,LyricalReferenceTo,Dream Pop,2029,,
1259,16719,CoverOf,Dream Pop,2018,,
1265,2467,InterpolatesFrom,,,,
1269,11495,LyricalReferenceTo,Indie Folk,2024,Americana,2015
1279,15622,InterpolatesFrom,Synthwave,2023,Doom Metal,1997
1279,6051,InterpolatesFrom,Synthwave,2023,,
1286,14266,LyricalReferenceTo,Dream Pop,2027,,
1286,6377,CoverOf,Dream Pop,2027,Dream Pop,2015
1286,3310,InStyleOf,Dream Pop,2027,Dream Pop,2014
1286,4666,InterpolatesFrom,Dream Pop,2027,Indie Folk,2000
1293,12475,InStyleOf,,,Southern Gothic Rock,1997
1293,2333,LyricalReferenceTo,,,Indie Pop,2000
1298,533,DirectlySamples,Dream Pop,2026,,
1298,10754,InterpolatesFrom,Dream Pop,2026,,
1298,12389,InStyleOf,Dream Pop,2026,Space Rock,2017
1307,14291,LyricalReferenceTo,,,Americana,2013
1307,1884,InStyleOf,,,,
1310,15998,InStyleOf,,,Alternative Rock,2028
1310,12089,CoverOf,,,,
1310,9143,InStyleOf,,,Indie Folk,2013
1310,14893,LyricalReferenceTo,,,Synthwave,2007
1313,1841,InStyleOf,Synthwave,2029,Indie Folk,2010
1313,6417,InStyleOf,Synthwave,2029,,
1313,15441,LyricalReferenceTo,Synthwave,2029,Oceanus Folk,2017
1326,12089,InterpolatesFrom,Jazz Surf Rock,1996,,
1333,14442,CoverOf,Jazz Surf Rock,2010,Jazz Surf Rock,2000
1333,9754,InStyleOf,Jazz Surf Rock,2010,,
1333,3508,CoverOf,Jazz Surf Rock,2010,,
1343,6006,CoverOf,,,Doom Metal,2004
1350,933,InStyleOf,Dream Pop,2007,Dream Pop,1998
1358,7278,InStyleOf,Dream Pop,2027,Synthwave,2022
1358,11526,InStyleOf,Dream Pop,2027,Psychedelic Rock,2019
1358,9014,InterpolatesFrom,Dream Pop,2027,Dream Pop,2024
1364,15343,LyricalReferenceTo,Speed Metal,2003,Speed Metal,1987
1364,4583,InStyleOf,Speed Metal,2003,Speed Metal,1983
1370,9007,InStyleOf,,,Doom Metal,2004
1370,10358,InStyleOf,,,,
1375,9388,InStyleOf,Synthwave,1990,Doom Metal,1987
1378,3252,InterpolatesFrom,,,Psychedelic Rock,2015
1384,13568,CoverOf,Alternative Rock,2028,,
1388,7026,InStyleOf,,,Americana,1983
1395,11251,LyricalReferenceTo,Dream Pop,2023,Indie Folk,2020
1395,10258,CoverOf,Dream Pop,2023,,
1402,6551,LyricalReferenceTo,,,Indie Folk,2014
1402,6006,InStyleOf,,,Doom Metal,2004
1402,6004,CoverOf,,,,
1402,15622,InStyleOf,,,Doom Metal,1997
1407,15198,InStyleOf,,,Dream Pop,2013
1411,14658,CoverOf,Southern Gothic Rock,2013,,
1411,11298,InStyleOf,Southern Gothic Rock,2013,,
1411,12475,InStyleOf,Southern Gothic Rock,2013,Southern Gothic Rock,1997
1411,3349,InStyleOf,Southern Gothic Rock,2013,Indie Pop,2002
1411,11368,InStyleOf,Southern Gothic Rock,2013,Southern Gothic Rock,2004
1411,1772,InStyleOf,Southern Gothic Rock,2013,Southern Gothic Rock,2010
1416,11805,CoverOf,,,Americana,1990
1425,4046,InterpolatesFrom,Doom Metal,2023,,
1435,3520,CoverOf,Oceanus Folk,2023,Oceanus Folk,2026
1440,2794,CoverOf,,,Southern Gothic Rock,2004
1440,14128,LyricalReferenceTo,,,Blues Rock,1994
1440,12821,LyricalReferenceTo,,,Blues Rock,1991
1447,8428,CoverOf,Doom Metal,2020,,
1455,8355,CoverOf,Synthwave,1994,Synthwave,1996
1466,4781,CoverOf,Lo-Fi Electronica,2015,Lo-Fi Electronica,2003
1466,966,InterpolatesFrom,Lo-Fi Electronica,2015,Lo-Fi Electronica,2003
1466,14512,InterpolatesFrom,Lo-Fi Electronica,2015,Lo-Fi Electronica,1997
1466,12517,InStyleOf,Lo-Fi Electronica,2015,Lo-Fi Electronica,2007
1466,10121,LyricalReferenceTo,Lo-Fi Electronica,2015,Lo-Fi Electronica,2007
