artist_id,debut_year,latest_year,total_works,notable_works,first_notoriety,last_notoriety,genre_diversity,notoriety_lag,career_span,is_performer,is_recent_debut,recent_notable_works,outbound_influence,years_since_notoriety,notoriety_recency_score,collab_with_popular_count,recent_collab_count,collab_growth_rate,recent_inbound_influence,genre_alignment_score,prestige_label_count,prestige_group_count,prestige_score,influenced_by_popular_score,role_diversity,of_alignment,id,name,stage_name,display_name
27,2022,2022,1,1,,,1,,0,True,False,0,5,,0.0,2,0,0.0,0,0,2,0,2,1,3,0,27.0,Anatol Dietz,The Hollow Lantern,The Hollow Lantern
28,2022,2022,1,1,,,1,,0,True,False,0,5,,0.0,2,0,0.0,0,0,2,0,2,1,1,0,28.0,Tracy Simpson,,Tracy Simpson
29,2005,2022,7,7,2010,2010,1,5,17,True,False,0,25,30,0.0,7,0,0.8184873949579832,0,0,6,0,6,6,1,0,29.0,Lorraine Martinez,,Lorraine Martinez
30,1985,2030,15,15,1995,2010,4,10,45,True,False,1,31,30,0.0,5,0,0.4910473519577175,0,0,4,0,4,6,3,0,30.0,Megan Bennett,,Megan Bennett
37,2007,2007,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,2,0,37.0,Hansh Ramanathan,,Hansh Ramanathan
40,2010,2013,2,2,2013,2013,1,3,3,True,False,0,1,27,0.0,1,0,0.0,0,0,0,0,0,0,3,0,40.0,Na Dong,,Na Dong
43,2020,2029,2,2,,,2,,9,True,False,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,3,0,43.0,James Taylor,,James Taylor
44,2029,2029,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,44.0,Jennifer Smith,,Jennifer Smith
45,2029,2029,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,2,0,45.0,Kyle Anderson,,Kyle Anderson
50,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,1,0,0.0,0,0,1,0,1,1,2,0,50.0,Tao Zeng,,Tao Zeng
51,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,1,0,0.0,0,0,1,0,1,1,1,0,51.0,Guiying Qin,,Guiying Qin
52,2017,2026,3,3,,,3,,9,True,False,0,3,,0.0,1,0,0.904109589041096,0,0,3,0,3,1,2,0,52.0,Na Guo,,Na Guo
55,1996,2003,2,2,,,1,,7,True,False,0,1,,0.0,1,0,0.14285714285714285,0,0,2,0,2,0,1,0,55.0,Miki Hasegawa,,Miki Hasegawa
56,1996,2013,3,3,,,1,,17,True,False,0,2,,0.0,0,0,0.14285714285714285,0,0,2,0,2,0,2,0,56.0,Asuka Takahashi,,Asuka Takahashi
57,1996,1996,1,1,,,1,,0,True,False,0,0,,0.0,1,0,0.0,0,0,1,0,1,0,2,0,57.0,Miki Miura,,Miki Miura
63,2023,2023,1,1,,,1,,0,True,False,0,2,,0.0,2,0,0.0,0,0,0,0,0,0,1,0,63.0,Min Qiao,,Min Qiao
64,2023,2023,1,1,,,1,,0,True,False,0,2,,0.0,2,0,0.0,0,0,0,0,0,0,1,0,64.0,April Morris,,April Morris
65,2020,2023,3,3,2020,2020,2,0,3,True,False,0,3,20,0.0,1,0,2.3333333333333335,0,0,3,0,3,1,1,0,65.0,Sara Parker,,Sara Parker
66,2023,2023,1,1,,,1,,0,True,False,0,2,,0.0,2,0,0.0,0,0,0,0,0,0,1,0,66.0,Gang Su,,Gang Su
67,2013,2023,4,4,,,2,,10,True,False,0,4,,0.0,3,0,0.881578947368421,0,0,3,1,4,0,1,0,67.0,Guiying Pan,,Guiying Pan
72,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,2,0,0.0,0,0,1,0,1,1,2,0,72.0,Amy Mejia,,Amy Mejia
73,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,2,0,0.0,0,0,1,0,1,1,1,0,73.0,Yang Pan,,Yang Pan
74,2010,2029,4,4,2010,2025,3,0,19,True,False,0,13,15,0.0,1,0,0.5646100116414435,0,0,6,0,6,3,3,0,74.0,Min Hu,,Min Hu
75,1999,2017,4,2,,,3,,18,True,False,0,6,,0.0,5,0,0.3888888888888889,0,0,2,0,2,2,2,0,75.0,Juan Feng,,Juan Feng
76,2000,2023,5,5,2007,2007,3,7,23,True,False,0,8,33,0.0,3,0,0.5734710087370929,1,0,6,0,6,3,1,0,76.0,Ming Ren,,Ming Ren
82,1996,2025,4,4,,,3,,29,True,False,0,3,,0.0,1,0,0.12274368231046931,0,0,4,1,5,0,2,0,82.0,Min Ye,,Min Ye
83,1996,2025,3,3,,,2,,29,True,False,0,3,,0.0,1,0,0.10380348652931855,0,0,3,1,4,0,2,0,83.0,Loretta Roberts,,Loretta Roberts
87,2013,2017,2,2,2017,2017,2,4,4,True,False,0,2,23,0.0,2,0,1.0,0,0,2,0,2,0,1,0,87.0,Jun Gu,,Jun Gu
89,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,1,0,0.0,0,0,1,0,1,0,3,0,89.0,Xiuying Dong,,Xiuying Dong
90,2013,2029,3,3,2017,2017,3,4,16,True,False,0,5,23,0.0,1,0,0.46153846153846156,0,0,2,0,2,1,3,0,90.0,Xiulan Li,,Xiulan Li
93,2023,2024,2,2,2023,2023,1,0,1,True,False,0,3,17,0.0,1,0,4.0,0,0,1,0,1,0,2,0,93.0,Jun Fan,,Jun Fan
94,2023,2023,1,1,2023,2023,1,0,0,True,False,0,2,17,0.0,1,0,0.0,0,0,1,0,1,0,1,0,94.0,Yan Yuan,,Yan Yuan
95,2023,2023,1,1,2023,2023,1,0,0,True,False,0,2,17,0.0,1,0,0.0,0,0,1,0,1,0,1,0,95.0,Diana Johnson,,Diana Johnson
97,2023,2023,1,1,2023,2023,1,0,0,True,False,0,2,17,0.0,1,0,0.0,0,0,1,0,1,0,1,0,97.0,Lei Zhou,,Lei Zhou
98,2023,2024,2,2,2023,2023,1,0,1,True,False,0,3,17,0.0,1,0,4.0,0,0,1,0,1,0,2,0,98.0,Yong Yu,,Yong Yu
99,1994,2029,7,7,1994,2023,4,0,35,True,False,0,8,17,0.0,10,0,0.6208092485549133,0,0,5,1,6,0,1,1,99.0,Miki Hayashi,,Miki Hayashi
103,1997,1997,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,103.0,Cristina Marenzio,,Cristina Marenzio
104,2000,2000,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,104.0,Enzio Caffarelli,,Enzio Caffarelli
107,2020,2027,3,3,,,2,,7,True,False,0,9,,0.0,2,0,0.5714285714285714,0,0,2,0,2,4,2,0,107.0,Pompeo Turchi,,Pompeo Turchi
108,2006,2027,4,4,2023,2023,3,17,21,True,False,0,10,17,0.0,2,0,1.0,0,0,3,0,3,4,2,0,108.0,Brandon Vasquez,,Brandon Vasquez
109,2017,2027,4,3,2023,2023,3,6,10,True,False,0,8,17,0.0,2,0,0.8214285714285714,0,0,1,0,1,2,2,0,109.0,Audrey-Camille Nicolas,,Audrey-Camille Nicolas
113,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,1,0,0.0,0,0,1,0,1,0,2,0,113.0,Fang Zhong,,Fang Zhong
114,2027,2027,1,1,,,1,,0,True,True,0,7,,0.0,2,0,0.0,0,0,2,0,2,1,3,0,114.0,Jie Long,,Jie Long
115,2007,2027,8,8,2011,2013,2,4,20,True,False,0,16,27,0.0,3,0,0.5559210526315791,0,0,6,0,6,2,2,0,115.0,Ping Meng,,Ping Meng
116,2007,2007,1,1,,,1,,0,True,False,0,0,,0.0,1,0,0.0,0,0,1,0,1,0,2,0,116.0,Wei Ye,,Wei Ye
122,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,122.0,Sabina Hrušková,,Sabina Hrušková
123,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,123.0,Naděžda Pešková,,Naděžda Pešková
124,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,124.0,Michal Žák,,Michal Žák
125,2025,2025,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,125.0,Miluše Dušková,,Miluše Dušková
126,2025,2025,2,2,,,2,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,3,0,126.0,Miloš Pokorný,,Miloš Pokorný
131,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,131.0,Li Lin,,Li Lin
132,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,132.0,Jie Yu,,Jie Yu
134,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,134.0,Steven Cordova,,Steven Cordova
135,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,135.0,Xia Chang,,Xia Chang
136,2026,2026,1,1,,,1,,0,True,True,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,136.0,Fang Kong,,Fang Kong
140,2023,2023,1,1,2023,2023,1,0,0,True,False,0,3,17,0.0,1,0,0.0,0,0,2,0,2,0,1,0,140.0,Min Pan,Oblivion Rhapsody,Oblivion Rhapsody
141,2003,2023,6,6,2023,2023,4,20,20,True,False,0,16,17,0.0,0,0,0.0,0,0,2,0,2,0,2,0,141.0,Xia Wu,,Xia Wu
142,2011,2020,3,2,,,3,,9,True,False,0,5,,0.0,0,0,0.14285714285714285,0,0,2,0,2,0,3,0,142.0,Wei Tang,,Wei Tang
145,2013,2029,4,3,,,2,,16,True,False,0,4,,0.0,1,0,0.9248704663212436,0,0,2,0,2,0,2,0,145.0,Adrien Charles,,Adrien Charles
147,2020,2022,3,3,,,2,,2,True,False,0,6,,0.0,2,0,1.5,0,0,2,0,2,0,1,0,147.0,Na Qian,,Na Qian
149,2000,2010,4,4,2002,2002,1,2,10,True,False,0,14,38,0.0,4,0,0.8561872909698997,0,0,3,1,4,4,3,0,149.0,Xia Fu,,Xia Fu
150,1991,2013,7,7,2002,2002,1,11,22,True,False,0,25,38,0.0,4,0,0.9279538904899136,0,0,4,1,5,7,2,0,150.0,Li Luo,,Li Luo
151,1993,2013,9,9,1993,2002,2,0,20,True,False,0,36,38,0.0,5,0,1.0680272108843538,0,0,5,0,5,10,2,0,151.0,Gang Zhao,,Gang Zhao
156,2007,2007,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,156.0,Andrzej Schottin-Mühle,,Andrzej Schottin-Mühle
157,2010,2010,1,1,2010,2010,1,0,0,True,False,0,2,30,0.0,2,0,0.0,0,0,1,0,1,0,1,0,157.0,Daria Boucsein,,Daria Boucsein
158,2007,2010,2,2,2010,2010,2,3,3,True,False,0,3,30,0.0,2,0,2.0,0,0,2,0,2,0,2,0,158.0,Orhan Krein,,Orhan Krein
159,2010,2010,1,1,2010,2010,1,0,0,True,False,0,2,30,0.0,2,0,0.0,0,0,1,0,1,0,1,0,159.0,Ashley Waters,,Ashley Waters
160,2010,2010,2,2,2010,2010,1,0,0,True,False,0,2,30,0.0,2,0,0.0,0,0,2,0,2,0,2,0,160.0,Hans-Theo Eckbauer-Dehmel,,Hans-Theo Eckbauer-Dehmel
161,2007,2010,2,2,2010,2010,2,3,3,True,False,0,3,30,0.0,2,0,2.0,0,0,2,0,2,0,1,0,161.0,Sophia Baracca-Solimena,,Sophia Baracca-Solimena
162,2004,2013,3,3,2010,2010,2,6,9,True,False,0,5,30,0.0,2,0,0.6666666666666666,0,0,3,1,4,0,3,0,162.0,Mia Carsten,,Mia Carsten
163,2010,2029,11,11,2010,2017,4,0,19,True,False,0,24,23,0.0,14,0,2.177083333333333,0,0,7,0,7,6,2,0,163.0,Regina Hesse,,Regina Hesse
170,2026,2028,2,2,,,2,,2,True,True,0,6,,0.0,1,0,4.5,0,0,2,0,2,1,3,0,170.0,Chao Yu,,Chao Yu
171,2026,2026,1,1,,,1,,0,True,True,0,3,,0.0,1,0,0.0,0,0,1,0,1,0,2,0,171.0,Chao Qiao,,Chao Qiao
172,1997,2026,9,8,2007,2026,3,10,29,True,False,0,32,14,0.0,2,0,0.2942583732057416,0,0,2,0,2,5,2,0,172.0,Lei Liao,,Lei Liao
177,2023,2023,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,177.0,Jie Yan,,Jie Yan
178,2020,2028,2,1,,,1,,8,True,False,0,6,,0.0,0,0,0.25,0,0,1,0,1,1,2,0,178.0,Li Mo,,Li Mo
179,2023,2023,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,179.0,Emily Huynh,,Emily Huynh
180,2023,2023,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,180.0,Gang Yang,,Gang Yang
183,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,183.0,Guiying Feng,,Guiying Feng
185,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,185.0,Lei Xue,,Lei Xue
188,2020,2020,1,1,,,1,,0,True,False,0,3,,0.0,1,0,0.0,0,0,1,0,1,1,2,0,188.0,Cecilia Scholz,,Cecilia Scholz
189,2025,2025,1,1,,,1,,0,True,True,0,0,,0.0,4,0,0.0,0,0,1,0,1,0,2,0,189.0,Alma Davids,,Alma Davids
190,2013,2025,7,7,2013,2013,4,0,12,True,False,0,8,27,0.0,6,0,0.8459214501510574,0,0,3,1,4,2,1,0,190.0,Peter Haering,,Peter Haering
193,2013,2013,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,193.0,Elizabeth Phillips,,Elizabeth Phillips
194,2018,2018,1,1,,,1,,0,True,False,0,0,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,194.0,Ming Xiang,,Ming Xiang
197,2007,2007,1,1,,,1,,0,True,False,0,1,,0.0,4,0,0.0,0,0,1,0,1,0,3,0,197.0,Xia Ren,,Xia Ren
198,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,1,198.0,Wei Wu,,Wei Wu
199,2017,2017,1,1,,,1,,0,True,False,0,2,,0.0,0,0,0.0,0,0,1,0,1,0,1,1,199.0,Tao Wei,,Tao Wei
201,2017,2017,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,2,0,201.0,Fang Zou,,Fang Zou
202,2017,2023,2,2,,,1,,6,True,False,0,2,,0.0,1,0,0.5,0,0,3,0,3,0,2,0,202.0,Guiying Pan,,Guiying Pan
203,2017,2017,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,203.0,Tao Yao,,Tao Yao
204,2017,2017,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,204.0,Juan Sun,,Juan Sun
205,2017,2017,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,205.0,Jun Wei,,Jun Wei
206,2017,2017,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,206.0,Tao Liao,,Tao Liao
207,2014,2029,3,3,,,2,,15,True,False,0,19,,0.0,0,0,0.281767955801105,0,0,3,0,3,3,2,0,207.0,Juan Jia,,Juan Jia
211,2029,2029,1,1,2029,2029,1,0,0,True,True,0,11,11,0.0,0,0,0.0,0,0,1,0,1,4,1,0,211.0,Jing Han,,Jing Han
212,2029,2029,1,1,2029,2029,1,0,0,True,True,0,11,11,0.0,0,0,0.0,0,0,1,0,1,4,2,0,212.0,Jun Yao,,Jun Yao
214,2029,2029,1,1,2029,2029,1,0,0,True,True,0,11,11,0.0,0,0,0.0,0,0,1,0,1,4,2,0,214.0,Qiang Cai,,Qiang Cai
215,2029,2029,1,1,2029,2029,1,0,0,True,True,0,11,11,0.0,0,0,0.0,0,0,1,0,1,4,1,0,215.0,Qiang Huang,,Qiang Huang
217,1993,2029,4,4,,,3,,36,True,False,0,3,,0.0,0,0,0.21052631578947367,1,0,2,0,2,0,2,0,217.0,Honoré Foucher,,Honoré Foucher
220,1997,1997,2,2,1997,1997,2,0,0,True,False,0,0,43,0.0,2,0,0.0,0,0,1,0,1,0,1,0,220.0,Ewa Zwara, Azure Wind, Azure Wind
221,1991,1997,2,2,,,1,,6,True,False,0,0,,0.0,4,0,0.6666666666666666,0,0,1,1,2,0,2,0,221.0,Olaf Szumny,,Olaf Szumny
222,1991,2000,4,4,1997,1997,3,6,9,True,False,0,5,43,0.0,3,0,0.9761904761904762,0,0,1,1,2,2,2,0,222.0,Jakub Dziuda,,Jakub Dziuda
223,1991,2010,8,8,1997,2010,3,6,19,True,False,0,18,30,0.0,3,0,0.9761904761904762,0,0,1,1,2,6,3,0,223.0,Borys Kościk,,Borys Kościk
226,2017,2025,2,2,,,2,,8,True,False,0,3,,0.0,0,0,0.375,0,0,3,0,3,0,1,0,226.0,Ping Mo,,Ping Mo
227,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,227.0,Chao Bai,,Chao Bai
229,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,229.0,Willie Phelps,,Willie Phelps
230,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,230.0,Jing Zhong,,Jing Zhong
234,2007,2013,3,2,2010,2010,1,3,6,True,False,0,2,30,0.0,4,0,1.0,0,0,3,0,3,2,1,0,234.0,Beth Carpenter,,Beth Carpenter
235,1985,2024,7,5,1996,2024,3,11,39,True,False,0,5,16,0.0,4,0,0.36598279285241564,0,0,3,0,3,4,2,0,235.0,Shannon Gordon,,Shannon Gordon
236,2007,2028,9,8,2010,2025,6,3,21,True,False,0,16,15,0.0,5,0,1.6193570451436392,0,0,4,1,5,12,1,0,236.0,Kimberly Castillo,,Kimberly Castillo
240,2015,2015,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,2,0,2,0,1,0,240.0,Matthieu-Daniel Launay,,Matthieu-Daniel Launay
241,2015,2018,2,2,,,1,,3,True,False,0,1,,0.0,0,0,0.3333333333333333,0,0,2,0,2,0,1,0,241.0,Yan Jia,,Yan Jia
242,2015,2018,2,2,,,1,,3,True,False,0,1,,0.0,0,0,0.3333333333333333,0,0,2,0,2,0,1,0,242.0,Juan Cai,,Juan Cai
250,1984,2023,8,8,1994,1994,4,10,39,True,False,0,13,46,0.0,2,0,0.3519054510371442,0,0,6,0,6,0,2,0,250.0,Mareen Schacht,,Mareen Schacht
251,2007,2007,1,1,,,1,,0,True,False,0,4,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,251.0,Chantal Stadelmann,,Chantal Stadelmann
252,2007,2010,2,2,,,1,,3,True,False,0,9,,0.0,1,0,1.0,0,0,2,0,2,0,2,0,252.0,Stephanie Morales,,Stephanie Morales
253,2007,2010,2,2,,,1,,3,True,False,0,9,,0.0,1,0,1.0,0,0,2,0,2,0,1,0,253.0,Amanda Nelson,,Amanda Nelson
254,2007,2010,2,2,,,1,,3,True,False,0,9,,0.0,1,0,1.0,0,0,2,0,2,0,2,0,254.0,Dörthe Dehmel,,Dörthe Dehmel
261,2029,2029,1,1,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,261.0,Shawn Hart,,Shawn Hart
265,2018,2018,1,1,,,1,,0,True,False,0,0,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,265.0,Wei Zhang,,Wei Zhang
266,2018,2020,2,2,,,2,,2,True,False,0,2,,0.0,1,0,1.5,0,0,1,0,1,1,2,0,266.0,Ping Meng,,Ping Meng
267,2009,2020,4,4,,,3,,11,True,False,0,5,,0.0,1,0,0.7088948787061995,0,0,4,0,4,1,1,0,267.0,Walter White,,Walter White
268,2018,2020,2,2,,,2,,2,True,False,0,2,,0.0,1,0,1.5,0,0,1,0,1,1,1,0,268.0,Na Kang,,Na Kang
269,2014,2018,2,2,2014,2014,1,0,4,True,False,0,0,26,0.0,1,0,1.0,0,0,2,0,2,0,2,0,269.0,Xia Zhong,,Xia Zhong
273,2017,2023,2,2,,,2,,6,True,False,0,3,,0.0,2,0,0.5,0,0,3,0,3,1,2,2,273.0,Tao Zou,,Tao Zou
274,2013,2017,2,2,2013,2013,2,0,4,True,False,0,2,27,0.0,1,0,0.25,0,0,3,0,3,1,2,0,274.0,Li Xie,,Li Xie
276,2013,2013,1,1,2013,2013,1,0,0,True,False,0,1,27,0.0,1,0,0.0,0,0,2,0,2,0,2,0,276.0,Kendra Miller,,Kendra Miller
280,2026,2026,1,1,2026,2026,1,0,0,True,True,0,1,14,0.0,0,0,0.0,0,0,1,0,1,0,2,0,280.0,George Bailey,,George Bailey
281,2026,2026,1,1,2026,2026,1,0,0,True,True,0,1,14,0.0,0,0,0.0,0,0,1,0,1,0,1,0,281.0,William Tran,,William Tran
284,2029,2029,1,1,2029,2029,1,0,0,True,True,0,4,11,0.0,0,0,0.0,0,0,1,0,1,0,1,0,284.0,Liza Rijcken,,Liza Rijcken
287,2029,2029,1,1,2029,2029,1,0,0,True,True,0,4,11,0.0,0,0,0.0,0,0,1,0,1,0,1,0,287.0,Ryan van 't Houteveen-Luboch,,Ryan van 't Houteveen-Luboch
288,2029,2029,1,1,2029,2029,1,0,0,True,True,0,4,11,0.0,0,0,0.0,0,0,1,0,1,0,2,0,288.0,Gerlind Sager-Ortmann,,Gerlind Sager-Ortmann
289,2029,2029,1,1,2029,2029,1,0,0,True,True,0,4,11,0.0,0,0,0.0,0,0,1,0,1,0,1,0,289.0,Liam de Vrome,,Liam de Vrome
293,2016,2016,1,1,,,1,,0,True,False,0,1,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,293.0,Joseph Alvarez,,Joseph Alvarez
294,2016,2016,1,1,,,1,,0,True,False,0,1,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,294.0,Xiulan Huang,,Xiulan Huang
295,2016,2016,1,1,,,1,,0,True,False,0,1,,0.0,1,0,0.0,0,0,1,0,1,0,1,0,295.0,Xia Shen,,Xia Shen
296,2010,2016,3,3,,,2,,6,True,False,0,2,,0.0,1,0,1.3333333333333333,0,0,1,0,1,0,3,0,296.0,Juan Long,,Juan Long
299,2007,2013,2,2,,,2,,6,True,False,0,1,,0.0,7,0,1.0,0,0,2,0,2,0,2,0,299.0,Ingbert Hertrampf,,Ingbert Hertrampf
300,2007,2023,4,4,,,4,,16,True,False,0,5,,0.0,6,0,0.6020408163265306,0,0,2,0,2,1,3,0,300.0,Klaus-Günter Kensy,,Klaus-Günter Kensy
301,2013,2013,1,1,,,1,,0,True,False,0,1,,0.0,5,0,0.0,0,0,1,0,1,0,1,0,301.0,Robert Peters,,Robert Peters
302,2007,2027,6,6,,,4,,20,True,False,0,9,,0.0,13,0,0.8386454183266933,1,0,6,0,6,1,2,0,302.0,Cindy Lübs,,Cindy Lübs
303,2007,2027,8,8,,,5,,20,True,False,0,8,,0.0,8,0,1.25711743772242,2,0,5,1,6,0,2,0,303.0,Corinna Gute,,Corinna Gute
304,2004,2023,9,9,2004,2007,4,0,19,True,False,0,6,33,0.0,9,0,1.318785578747628,0,0,4,0,4,1,3,0,304.0,Belinda Knappe,,Belinda Knappe
305,2007,2023,8,8,2017,2017,3,10,16,True,False,0,11,23,0.0,9,0,1.301282051282051,0,0,6,0,6,1,3,0,305.0,Bekir Bruder,,Bekir Bruder
309,2014,2014,1,1,,,1,,0,True,False,0,0,,0.0,0,0,0.0,0,0,0,0,0,0,1,0,309.0,Jun Ye,,Jun Ye
313,2007,2007,1,1,,,1,,0,True,False,0,0,,0.0,2,0,0.0,0,0,1,0,1,0,1,0,313.0,Li Liao,,Li Liao
314,2007,2027,5,5,2013,2026,3,6,20,True,False,0,11,14,0.0,4,0,0.6187717265353418,0,0,3,0,3,0,2,2,314.0,Cristian Bonilla,,Cristian Bonilla
315,2007,2007,1,1,,,1,,0,True,False,0,0,,0.0,2,0,0.0,0,0,1,0,1,0,3,0,315.0,Xiuying Guo,,Xiuying Guo
316,2007,2027,4,4,2026,2026,4,19,20,True,False,0,11,14,0.0,2,0,0.39097744360902253,0,0,3,0,3,1,2,2,316.0,Lei Xue,,Lei Xue
317,2007,2022,6,6,2013,2013,3,6,15,True,False,0,8,27,0.0,2,0,0.7823343848580442,0,0,4,0,4,2,2,0,317.0,Gang Bai,,Gang Bai
322,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,322.0,Kelly Long,,Kelly Long
323,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,323.0,Janice Fuentes,,Janice Fuentes
324,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,324.0,Samantha Padilla,,Samantha Padilla
325,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,325.0,Ryan Pollard,,Ryan Pollard
326,2025,2025,1,1,,,1,,0,True,True,0,3,,0.0,0,0,0.0,0,0,1,0,1,1,1,0,326.0,Laura Davis,,Laura Davis
330,2023,2025,2,2,,,2,,2,True,False,0,3,,0.0,2,0,2.0,0,0,3,0,3,0,1,0,330.0,Kerri Weeks,,Kerri Weeks
