section,artist_id,display_name,year,new_notable_works,cumulative_notable_works,new_collabs,cumulative_collabs,outbound_influence,cumulative_outbound,inbound_influence,cumulative_inbound,debut_year,notoriety_year,genre,works_in_genre,cumulative_works_in_genre
genre,1716,Kimberly Snyder,2028,,,,,,,,,,,Post-Apocalyptic Folk,0.0,0.0
genre,1716,Kimberly Snyder,2029,,,,,,,,,,,Post-Apocalyptic Folk,1.0,1.0
genre,1716,Kimberly Snyder,2016,,,,,,,,,,,Space Rock,0.0,0.0
genre,1716,Kimberly Snyder,2017,,,,,,,,,,,Space Rock,0.0,0.0
genre,1716,Kimberly Snyder,2018,,,,,,,,,,,Space Rock,0.0,0.0
genre,1716,Kimberly Snyder,2019,,,,,,,,,,,Space Rock,1.0,1.0
genre,1716,Kimberly Snyder,2020,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2021,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2022,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2023,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2024,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2025,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2026,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2027,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2028,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2029,,,,,,,,,,,Space Rock,0.0,1.0
genre,1716,Kimberly Snyder,2016,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2017,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2018,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2019,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2020,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2021,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2022,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2023,,,,,,,,,,,Symphonic Metal,0.0,0.0
genre,1716,Kimberly Snyder,2024,,,,,,,,,,,Symphonic Metal,1.0,1.0
genre,1716,Kimberly Snyder,2025,,,,,,,,,,,Symphonic Metal,0.0,1.0
genre,1716,Kimberly Snyder,2026,,,,,,,,,,,Symphonic Metal,0.0,1.0
genre,1716,Kimberly Snyder,2027,,,,,,,,,,,Symphonic Metal,0.0,1.0
genre,1716,Kimberly Snyder,2028,,,,,,,,,,,Symphonic Metal,0.0,1.0
genre,1716,Kimberly Snyder,2029,,,,,,,,,,,Symphonic Metal,0.0,1.0
genre,1716,Kimberly Snyder,2016,,,,,,,,,,,Synthwave,1.0,1.0
genre,1716,Kimberly Snyder,2017,,,,,,,,,,,Synthwave,0.0,1.0
genre,1716,Kimberly Snyder,2018,,,,,,,,,,,Synthwave,1.0,2.0
genre,1716,Kimberly Snyder,2019,,,,,,,,,,,Synthwave,0.0,2.0
genre,1716,Kimberly Snyder,2020,,,,,,,,,,,Synthwave,0.0,2.0
genre,1716,Kimberly Snyder,2021,,,,,,,,,,,Synthwave,0.0,2.0
genre,1716,Kimberly Snyder,2022,,,,,,,,,,,Synthwave,0.0,2.0
genre,1716,Kimberly Snyder,2023,,,,,,,,,,,Synthwave,1.0,3.0
genre,1716,Kimberly Snyder,2024,,,,,,,,,,,Synthwave,1.0,4.0
genre,1716,Kimberly Snyder,2025,,,,,,,,,,,Synthwave,0.0,4.0
genre,1716,Kimberly Snyder,2026,,,,,,,,,,,Synthwave,1.0,5.0
genre,1716,Kimberly Snyder,2027,,,,,,,,,,,Synthwave,0.0,5.0
genre,1716,Kimberly Snyder,2028,,,,,,,,,,,Synthwave,0.0,5.0
genre,1716,Kimberly Snyder,2029,,,,,,,,,,,Synthwave,0.0,5.0
genre,5038,Min He,2020,,,,,,,,,,,Americana,0.0,0.0
genre,5038,Min He,2021,,,,,,,,,,,Americana,0.0,0.0
genre,5038,Min He,2022,,,,,,,,,,,Americana,0.0,0.0
genre,5038,Min He,2023,,,,,,,,,,,Americana,1.0,1.0
genre,5038,Min He,2024,,,,,,,,,,,Americana,0.0,1.0
genre,5038,Min He,2025,,,,,,,,,,,Americana,0.0,1.0
genre,5038,Min He,2026,,,,,,,,,,,Americana,0.0,1.0
genre,5038,Min He,2027,,,,,,,,,,,Americana,0.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Americana,0.0,1.0
genre,5038,Min He,2020,,,,,,,,,,,Desert Rock,0.0,0.0
genre,5038,Min He,2021,,,,,,,,,,,Desert Rock,0.0,0.0
genre,5038,Min He,2022,,,,,,,,,,,Desert Rock,0.0,0.0
genre,5038,Min He,2023,,,,,,,,,,,Desert Rock,1.0,1.0
genre,5038,Min He,2024,,,,,,,,,,,Desert Rock,0.0,1.0
genre,5038,Min He,2025,,,,,,,,,,,Desert Rock,0.0,1.0
genre,5038,Min He,2026,,,,,,,,,,,Desert Rock,0.0,1.0
genre,5038,Min He,2027,,,,,,,,,,,Desert Rock,0.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Desert Rock,0.0,1.0
genre,5038,Min He,2020,,,,,,,,,,,Indie Folk,1.0,1.0
genre,5038,Min He,2021,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2022,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2023,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2024,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2025,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2026,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2027,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Indie Folk,0.0,1.0
genre,5038,Min He,2020,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2021,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2022,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2023,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2024,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2025,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2026,,,,,,,,,,,Jazz Surf Rock,0.0,0.0
genre,5038,Min He,2027,,,,,,,,,,,Jazz Surf Rock,1.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Jazz Surf Rock,0.0,1.0
genre,5038,Min He,2020,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2021,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2022,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2023,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2024,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2025,,,,,,,,,,,Space Rock,0.0,0.0
genre,5038,Min He,2026,,,,,,,,,,,Space Rock,1.0,1.0
genre,5038,Min He,2027,,,,,,,,,,,Space Rock,0.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Space Rock,2.0,3.0
genre,5038,Min He,2020,,,,,,,,,,,Synthwave,0.0,0.0
genre,5038,Min He,2021,,,,,,,,,,,Synthwave,0.0,0.0
genre,5038,Min He,2022,,,,,,,,,,,Synthwave,0.0,0.0
genre,5038,Min He,2023,,,,,,,,,,,Synthwave,1.0,1.0
genre,5038,Min He,2024,,,,,,,,,,,Synthwave,0.0,1.0
genre,5038,Min He,2025,,,,,,,,,,,Synthwave,0.0,1.0
genre,5038,Min He,2026,,,,,,,,,,,Synthwave,0.0,1.0
genre,5038,Min He,2027,,,,,,,,,,,Synthwave,0.0,1.0
genre,5038,Min He,2028,,,,,,,,,,,Synthwave,0.0,1.0
genre,17255,Sailor Shift,2028,,,,,,,,,,,Oceanus Folk,5.0,5.0
genre,17255,Sailor Shift,2029,,,,,,,,,,,Oceanus Folk,0.0,5.0
genre,17255,Sailor Shift,2030,,,,,,,,,,,Oceanus Folk,5.0,10.0
genre,17255,Sailor Shift,2031,,,,,,,,,,,Oceanus Folk,2.0,12.0
genre,17255,Sailor Shift,2032,,,,,,,,,,,Oceanus Folk,2.0,14.0
genre,17255,Sailor Shift,2033,,,,,,,,,,,Oceanus Folk,0.0,14.0
genre,17255,Sailor Shift,2034,,,,,,,,,,,Oceanus Folk,4.0,18.0
genre,17255,Sailor Shift,2035,,,,,,,,,,,Oceanus Folk,0.0,18.0
genre,17255,Sailor Shift,2036,,,,,,,,,,,Oceanus Folk,3.0,21.0
genre,17255,Sailor Shift,2037,,,,,,,,,,,Oceanus Folk,0.0,21.0
genre,17255,Sailor Shift,2038,,,,,,,,,,,Oceanus Folk,2.0,23.0
genre,17255,Sailor Shift,2039,,,,,,,,,,,Oceanus Folk,0.0,23.0
genre,17255,Sailor Shift,2040,,,,,,,,,,,Oceanus Folk,3.0,26.0
